cluster,num_images,images
type_1,70,F5A6_3176_R1.PNG;F6WU_3176_R3.PNG;F6WW_3176_R1.PNG;F6X2_3176_R1.PNG;F6XN_3176_R1.PNG;F6XR_3176_R2.PNG;F6XT_3176_R1.PNG;F6Y1_3176_R1.PNG;F6Y3_3176_R1.PNG;F6Y4_3176_R1.PNG;F6Y4_3176_R2.PNG;F6Y6_3176_R1.PNG;F6Y7_3176_R1.PNG;F6YD_3176_R1.PNG;F6YE_3176_R1.PNG;F6YJ_3176_R1.PNG;F6YK_3176_R2.PNG;F7WG_3176_R2.PNG;F7WR_3176_R1.PNG;F7WT_3176_R1.PNG;F7WW_3176_R1.PNG;F7X7_3176_R1.PNG;F7XA_3176_R1.PNG;F7XF_3176_R1.PNG;F81H_3176_R1.PNG;F82A_3176_R2.PNG;F84E_3176_R1.PNG;F84H_3176_R1.PNG;F84J_3176_R1.PNG;F84K_3176_R1.PNG;F84P_3176_R1.PNG;F84T_3176_R1.PNG;F84W_3176_R1.PNG;F84X_3176_R1.PNG;F84Y_3176_R2.PNG;F85G_3176_R2.PNG;F85J_3176_R1.PNG;F8AU_3176_R1.PNG;F8C4_3176_R1.PNG;F8C5_3176_R1.PNG;F8C6_3176_R1.PNG;F8C7_3176_R1.PNG;F8CC_3176_R1.PNG;F8CD_3176_R1.PNG;F8CG_3176_R1.PNG;F8CK_3176_R1.PNG;F8CN_3176_R1.PNG;F8CT_3176_R1.PNG;F8ET_3176_R1.PNG;F8F4_3176_R2.PNG;F8H8_3176_R1.PNG;F8HA_3176_R1.PNG;F8HE_3176_R2.PNG;F8HF_3176_R1.PNG;F8HG_3176_R1.PNG;F8HJ_3176_R1.PNG;F8HN_3176_R1.PNG;F8HR_3176_R1.PNG;F8J5_3176_R1.PNG;F8J6_3176_R1.PNG;F8JG_3176_R1.PNG;F8KC_3176_R1.PNG;F8KJ_3176_R1.PNG;F8KK_3176_R1.PNG;F8L2_3176_R1.PNG;F8LE_3176_R1.PNG;F8LG_3176_R1.PNG;F8LX_3176_R1.PNG;F8MJ_3176_R1.PNG;F8R9_3176_R1.PNG
type_2,17,F6XM_3176_R1.PNG;F6XR_3176_R1.PNG;F6Y2_3176_R1.PNG;F6YD_3176_R2.PNG;F6YG_3176_R1.PNG;F7W4_3176_R1.PNG;F82A_3176_R1.PNG;F84D_3176_R1.PNG;F8C2_3176_R1.PNG;F8C2_3176_R2.PNG;F8C8_3176_R1.PNG;F8CE_3176_R1.PNG;F8DA_3176_R1.PNG;F8EN_3176_R1.PNG;F8EX_3176_R1.PNG;F8JF_3176_R1.PNG;F8NE_3176_R1.PNG
type_3,6,F7XW_3176_R1.PNG;F85F_3176_R1.PNG;F8AX_3176_R1.PNG;F8CH_3176_R1.PNG;F8CL_3176_R1.PNG;F8LP_3176_R1.PNG
type_4,8,F6YC_3176_R1.PNG;F6YC_3176_R2.PNG;F7WA_3176_R1.PNG;F7WD_3176_R1.PNG;F7WT_3176_R2.PNG;F8CF_3176_R1.PNG;F8CY_3176_R1.PNG;F8EF_3176_R1.PNG
type_5,2,F78F_3176_R2.PNG;F82L_3176_R1.PNG
type_6,9,F7W4_3176_R2.PNG;F7W4_3176_R3.PNG;F7WG_3176_R1.PNG;F7WM_3176_R1.PNG;F7WR_3176_R2.PNG;F83M_3176_R1.PNG;F8CP_3176_R1.PNG;F8JN_3176_R1.PNG;F8LW_3176_R1.PNG
type_7,3,F6YH_3176_R1.PNG;F6YK_3176_R1.PNG;F6YM_3176_R1.PNG
type_8,22,F6XP_3176_R1.PNG;F6Y8_3176_R1.PNG;F6YA_3176_R1.PNG;F6YF_3176_R1.PNG;F6YH_3176_R2.PNG;F6YL_3176_R1.PNG;F81L_3176_R1.PNG;F83U_3176_R1.PNG;F85A_3176_R1.PNG;F85G_3176_R1.PNG;F8C9_3176_R1.PNG;F8CA_3176_R1.PNG;F8DF_3176_R1.PNG;F8EA_3176_R1.PNG;F8EC_3176_R1.PNG;F8EM_3176_R1.PNG;F8ER_3176_R1.PNG;F8HM_3176_R2.PNG;F8K6_3176_R1.PNG;F8KD_3176_R1.PNG;F8KP_3176_R1.PNG;F8NF_3176_R1.PNG
type_9,2,F82F_3176_R1.PNG;F82M_3176_R1.PNG
type_10,3,F7XM_3176_R1.PNG;F85L_3176_R1.PNG;F8ED_3176_R1.PNG
